"cov","sgn","lmd","drop","tau","npg","m1","s1","m2","s2","m3","s3","Ilgt","dltt","xi2_1","xi2_2","xi2_3","drrate1_2","drrate1_3","drratte2_2","drrate2_3"
0,-1,-0.5,0,1,50,1.80001026274286,0.0552686851615702,1.80934726185755,0.0583607010354027,1.81753397307466,0.0611030831576375,-Inf,-0.0343308345826971,84.8218799023084,79.0209118082023,85.0931252320251,1,1,1,1
0,-1,-0.5,0.3,1,50,1.80001026274286,0.0552686851615702,1.80934726185755,0.0583607010354027,1.81753397307466,0.0611030831576375,-33.8576922618995,-0.0400311980430993,82.6388308087832,75.1648240491255,80.7923522657147,0.748526,0.699072,0.800148,0.770298
0,-1,-0.5,0.5,1,50,1.80001026274286,0.0552686851615702,1.80934726185755,0.0583607010354027,1.81753397307466,0.0611030831576375,-32.9263758778303,-0.0440382767006628,81.1542608052776,72.620499953908,77.9607970209241,0.57578,0.499514,0.653068,0.604444
0,-1,0,0,1,50,4.60517018598809,0.578267230387605,4.70048036579242,0.646488206418224,4.78749174278205,0.713445719404498,-Inf,-0.397663741938688,81.9687695045976,73.9076709150763,80.6265500891741,1,1,1,1
0,-1,0,0.3,1,50,4.60517018598809,0.578267230387605,4.70048036579242,0.646488206418224,4.78749174278205,0.713445719404498,-9.53683738475276,-0.446629372193947,79.9863103887967,70.3759083457421,76.7737181953549,0.79015,0.701006,0.840542,0.786242
0,-1,0,0.5,1,50,4.60517018598809,0.578267230387605,4.70048036579242,0.646488206418224,4.78749174278205,0.713445719404498,-8.61940860356676,-0.49732430183433,77.9843398260126,66.8971298390891,72.978687097188,0.63207,0.499546,0.711802,0.62434
0,-1,0.5,0,1,50,17.9972114365417,5.93283434300769,18.9639900342127,7.00761800849468,19.8716407750687,8.15163086544249,-Inf,-4.793751983387,77.5415010609015,66.11781525754,74.4998894400602,1,1,1,1
0,-1,0.5,0.3,1,50,17.9972114365417,5.93283434300769,18.9639900342127,7.00761800849468,19.8716407750687,8.15163086544249,-4.76424018895334,-5.40352611179002,74.8974583890151,61.4368530239445,69.6360041009168,0.810842,0.701072,0.862344,0.796874
0,-1,0.5,0.5,1,50,17.9972114365417,5.93283434300769,18.9639900342127,7.00761800849468,19.8716407750687,8.15163086544249,-3.85170433332993,-6.06463252509536,72.0857949105342,56.5987867043512,64.6027887259058,0.662278,0.500786,0.745404,0.640262
0,1,-0.5,0,1,50,1.80001026274286,0.0552686851615702,1.78922546744253,0.0645201826121789,1.77652566931999,0.0748356877235303,-Inf,0.0445475875662751,126.586327773393,144.062252241787,123.84881877751,1,1,1,1
0,1,-0.5,0.3,1,50,1.80001026274286,0.0552686851615702,1.78922546744253,0.0645201826121789,1.77652566931999,0.0748356877235303,26.6855368564565,0.0498581220910961,130.442333831,153.4996348312,131.256132003478,0.995446,0.69998,0.997058,0.81431
0,1,-0.5,0.5,1,50,1.80001026274286,0.0552686851615702,1.78922546744253,0.0645201826121789,1.77652566931999,0.0748356877235303,27.6971347845856,0.0540909683168928,133.641957329648,161.666818689858,137.612786987845,0.988026,0.499374,0.992242,0.657204
0,1,0,0,1,50,4.60517018598809,0.578267230387605,4.49980967033027,0.646488206418224,4.38202663467388,0.713445719404498,-Inf,0.401846520881756,122.253095173727,134.512373516007,119.56655423645,1,1,1,1
0,1,0,0.3,1,50,4.60517018598809,0.578267230387605,4.49980967033027,0.646488206418224,4.38202663467388,0.713445719404498,5.49814967982048,0.435669025874906,124.33812870757,139.139732254502,123.679762004002,0.89179,0.699348,0.920726,0.797424
0,1,0,0.5,1,50,4.60517018598809,0.578267230387605,4.49980967033027,0.646488206418224,4.38202663467388,0.713445719404498,6.41638805348865,0.488658982399848,127.676494400484,146.711585001572,130.410297779175,0.787202,0.50193,0.841132,0.642706
0,1,0.5,0,1,50,17.9972114365417,5.93283434300769,16.9626424687909,6.33862898408574,15.8581199121231,6.65577873061871,-Inf,3.72612454320524,119.477199204891,128.710553469382,116.523161082118,1,1,1,1
0,1,0.5,0.3,1,50,17.9972114365417,5.93283434300769,16.9626424687909,6.33862898408574,15.8581199121231,6.65577873061871,0.981808079631889,4.17698504534277,121.952674683851,133.872615566309,121.429235775021,0.852106,0.700656,0.887176,0.78839
0,1,0.5,0.5,1,50,17.9972114365417,5.93283434300769,16.9626424687909,6.33862898408574,15.8581199121231,6.65577873061871,1.89044725605966,4.70664791224339,124.893465610561,140.067681631488,127.325048415671,0.722874,0.498178,0.784994,0.630716
1,-1,-0.5,0,1,50,1.80001026274286,0.0552686851615702,1.80934726185755,0.0583607010354027,1.81753397307466,0.0611030831576375,-Inf,-0.0338217081396752,85.0210499911986,79.3796548122973,85.4937986980297,1,1,1,1
1,-1,-0.5,0.3,1,50,1.80001026274286,0.0552686851615702,1.80934726185755,0.0583607010354027,1.81753397307466,0.0611030831576375,-33.8639955163956,-0.0385942201682912,83.181139631837,76.109867065034,81.8453466859098,0.750236,0.70099,0.801436,0.770754
1,-1,-0.5,0.5,1,50,1.80001026274286,0.0552686851615702,1.80934726185755,0.0583607010354027,1.81753397307466,0.0611030831576375,-32.9268559929682,-0.0425325391060244,81.7073936709658,73.5612239716933,79.0071365604418,0.576004,0.49954,0.64945,0.599742
1,-1,0,0,1,50,4.60517018598809,0.578267230387605,4.70048036579242,0.646488206418224,4.78749174278205,0.713445719404498,-Inf,-0.391936620446366,82.2038284475199,74.332163525722,81.0896329371512,1,1,1,1
1,-1,0,0.3,1,50,4.60517018598809,0.578267230387605,4.70048036579242,0.646488206418224,4.78749174278205,0.713445719404498,-9.53401701564971,-0.437940093112564,80.3345780765876,70.9900887821768,77.4437332169202,0.789138,0.699942,0.83764,0.78284
1,-1,0,0.5,1,50,4.60517018598809,0.578267230387605,4.70048036579242,0.646488206418224,4.78749174278205,0.713445719404498,-8.61644971875786,-0.48334122330508,78.5314808501489,67.8391283296903,74.0063218142075,0.631916,0.498582,0.709796,0.621294
1,-1,0.5,0,1,50,17.9972114365417,5.93283434300769,18.9639900342127,7.00761800849468,19.8716407750687,8.15163086544249,-Inf,-4.59732117006156,78.4035668520947,67.670090817787,76.111863759775,1,1,1,1
1,-1,0.5,0.3,1,50,17.9972114365417,5.93283434300769,18.9639900342127,7.00761800849468,19.8716407750687,8.15163086544249,-4.76030112896974,-5.2160277953083,75.7053019044962,62.8539469712561,71.1089935681233,0.809772,0.699352,0.85987,0.793164
1,-1,0.5,0.5,1,50,17.9972114365417,5.93283434300769,18.9639900342127,7.00761800849468,19.8716407750687,8.15163086544249,-3.85141539481577,-5.81673062432691,73.1333950887897,58.383954119401,66.4608300792133,0.66272,0.50082,0.743312,0.636906
1,1,-0.5,0,1,50,1.80001026274286,0.0552686851615702,1.78922546744253,0.0645201826121789,1.77652566931999,0.0748356877235303,-Inf,0.042558712178678,125.185663733454,140.741601853473,121.226170131073,1,1,1,1
1,1,-0.5,0.3,1,50,1.80001026274286,0.0552686851615702,1.78922546744253,0.0645201826121789,1.77652566931999,0.0748356877235303,26.689231713839,0.0461868683639037,127.758361546167,146.884558859684,126.071141963018,0.995446,0.69883,0.996784,0.806562
1,1,-0.5,0.5,1,50,1.80001026274286,0.0552686851615702,1.78922546744253,0.0645201826121789,1.77652566931999,0.0748356877235303,27.6900740357541,0.0515526856194128,131.709485165727,156.697174184974,133.750655920652,0.987698,0.501142,0.991922,0.652998
1,1,0,0,1,50,4.60517018598809,0.578267230387605,4.49980967033027,0.646488206418224,4.38202663467388,0.713445719404498,-Inf,0.382529654484201,121.078005717028,131.938951215713,117.2790677473,1,1,1,1
1,1,0,0.3,1,50,4.60517018598809,0.578267230387605,4.49980967033027,0.646488206418224,4.38202663467388,0.713445719404498,5.49100462167716,0.426372587774733,123.761518991375,137.852222247473,122.535308664421,0.892434,0.70026,0.921314,0.796058
1,1,0,0.5,1,50,4.60517018598809,0.578267230387605,4.49980967033027,0.646488206418224,4.38202663467388,0.713445719404498,6.42041448422375,0.473312343817818,126.700541082363,144.477243995071,128.424216884508,0.7841,0.499444,0.838418,0.636632
1,1,0.5,0,1,50,17.9972114365417,5.93283434300769,16.9626424687909,6.33862898408574,15.8581199121231,6.65577873061871,-Inf,3.70575439699312,119.365959460245,128.479748258267,116.303951917592,1,1,1,1
1,1,0.5,0.3,1,50,17.9972114365417,5.93283434300769,16.9626424687909,6.33862898408574,15.8581199121231,6.65577873061871,0.968457257215804,4.02944707986073,121.139794932102,132.172124115399,119.81237591722,0.85333,0.701652,0.886772,0.78837
1,1,0.5,0.5,1,50,17.9972114365417,5.93283434300769,16.9626424687909,6.33862898408574,15.8581199121231,6.65577873061871,1.8858112346954,4.5190661661425,123.847943295786,137.857536664335,125.220718319752,0.723822,0.499998,0.78409,0.626432
